ranking,name,info
1,Harakiri,"{'director': ['Masaki Kobayashi'], 'year': 1962, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 135, 'avg_rating': 4.69}"
2,Come and See,"{'director': ['Elem Klimov'], 'year': 1985, 'language': ['Russian', 'Belarusian', 'German'], 'country': ['USSR'], 'runtime': 142, 'avg_rating': 4.64}"
3,12 Angry Men,"{'director': ['Sidney Lumet'], 'year': 1957, 'language': ['English'], 'country': ['USA'], 'runtime': 97, 'avg_rating': 4.62}"
4,Seven Samurai,"{'director': ['Akira Kurosawa'], 'year': 1954, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 207, 'avg_rating': 4.6}"
5,The Godfather: Part II,"{'director': ['Francis Ford Coppola'], 'year': 1974, 'language': ['English', 'Italian', 'Latin', 'Spanish'], 'country': ['USA'], 'runtime': 202, 'avg_rating': 4.59}"
6,High and Low,"{'director': ['Akira Kurosawa'], 'year': 1963, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 142, 'avg_rating': 4.59}"
7,The Human Condition III: A Soldier's Prayer,"{'director': ['Masaki Kobayashi'], 'year': 1961, 'language': ['Japanese', 'Chinese', 'Russian'], 'country': ['Japan'], 'runtime': 190, 'avg_rating': 4.56}"
8,Parasite,"{'director': ['Bong Joon-ho'], 'year': 2019, 'language': ['Korean', 'English', 'German'], 'country': ['South Korea'], 'runtime': 133, 'avg_rating': 4.56}"
9,The Godfather,"{'director': ['Francis Ford Coppola'], 'year': 1972, 'language': ['English', 'Latin', 'Italian'], 'country': ['USA'], 'runtime': 175, 'avg_rating': 4.55}"
10,The Shawshank Redemption,"{'director': ['Frank Darabont'], 'year': 1994, 'language': ['English'], 'country': ['USA'], 'runtime': 142, 'avg_rating': 4.55}"
11,Yi Yi,"{'director': ['Edward Yang'], 'year': 2000, 'language': ['Chinese', 'English', 'Japanese'], 'country': ['Japan', 'Taiwan'], 'runtime': 174, 'avg_rating': 4.54}"
12,City of God,"{'director': ['Fernando Meirelles'], 'year': 2002, 'language': ['Portuguese'], 'country': ['Brazil', 'France', 'Germany'], 'runtime': 130, 'avg_rating': 4.52}"
13,Schindler's List,"{'director': ['Steven Spielberg'], 'year': 1993, 'language': ['English', 'German', 'Polish', 'Hebrew\xa0(modern)'], 'country': ['USA'], 'runtime': 195, 'avg_rating': 4.52}"
14,Ikiru,"{'director': ['Akira Kurosawa'], 'year': 1952, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 143, 'avg_rating': 4.52}"
15,La Haine,"{'director': ['Mathieu Kassovitz'], 'year': 1995, 'language': ['French'], 'country': ['France'], 'runtime': 98, 'avg_rating': 4.51}"
16,The Lord of the Rings: The Return of the King,"{'director': ['Peter Jackson'], 'year': 2003, 'language': ['English'], 'country': ['New Zealand', 'USA'], 'runtime': 201, 'avg_rating': 4.5}"
17,Ran,"{'director': ['Akira Kurosawa'], 'year': 1985, 'language': ['Japanese'], 'country': ['Japan', 'France'], 'runtime': 160, 'avg_rating': 4.5}"
18,A Brighter Summer Day,"{'director': ['Edward Yang'], 'year': 1991, 'language': ['Chinese', 'English'], 'country': ['Taiwan'], 'runtime': 237, 'avg_rating': 4.5}"
19,The Human Condition I: No Greater Love,"{'director': ['Masaki Kobayashi'], 'year': 1959, 'language': ['Japanese', 'Chinese'], 'country': ['Japan'], 'runtime': 206, 'avg_rating': 4.5}"
20,"The Good, the Bad and the Ugly","{'director': ['Sergio Leone'], 'year': 1966, 'language': ['Italian'], 'country': ['USA', 'Italy', 'Spain', 'Germany'], 'runtime': 161, 'avg_rating': 4.5}"
21,GoodFellas,"{'director': ['Martin Scorsese'], 'year': 1990, 'language': ['English', 'Italian'], 'country': ['USA'], 'runtime': 145, 'avg_rating': 4.48}"
22,Dune: Part Two,"{'director': ['Denis Villeneuve'], 'year': 2024, 'language': ['English'], 'country': ['USA'], 'runtime': 167, 'avg_rating': 4.47}"
23,The Dark Knight,"{'director': ['Christopher Nolan'], 'year': 2008, 'language': ['English', 'Chinese'], 'country': ['UK', 'USA'], 'runtime': 152, 'avg_rating': 4.47}"
24,Neon Genesis Evangelion: The End of Evangelion,"{'director': ['Hideaki Anno', 'Kazuya Tsurumaki'], 'year': 1997, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 87, 'avg_rating': 4.47}"
25,There Will Be Blood,"{'director': ['Paul Thomas Anderson'], 'year': 2007, 'language': ['English'], 'country': ['USA'], 'runtime': 158, 'avg_rating': 4.45}"
26,Spirited Away,"{'director': ['Hayao Miyazaki'], 'year': 2001, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 125, 'avg_rating': 4.45}"
27,Autumn Sonata,"{'director': ['Ingmar Bergman'], 'year': 1978, 'language': ['Swedish', 'English'], 'country': ['Germany', 'Sweden'], 'runtime': 93, 'avg_rating': 4.45}"
28,Spider-Man: Across the Spider-Verse,"{'director': ['Joaquim Dos Santos', 'Justin K. Thompson', 'Kemp Powers'], 'year': 2023, 'language': ['English', 'Hindi', 'Italian', 'Spanish'], 'country': ['USA'], 'runtime': 140, 'avg_rating': 4.45}"
29,Grave of the Fireflies,"{'director': ['Isao Takahata'], 'year': 1988, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 89, 'avg_rating': 4.45}"
30,Cinema Paradiso,"{'director': ['Giuseppe Tornatore'], 'year': 1988, 'language': ['Italian'], 'country': ['France', 'Italy'], 'runtime': 124, 'avg_rating': 4.45}"
31,Paths of Glory,"{'director': ['Stanley Kubrick'], 'year': 1957, 'language': ['English', 'German', 'Latin'], 'country': ['USA', 'UK'], 'runtime': 88, 'avg_rating': 4.45}"
32,Woman in the Dunes,"{'director': ['Hiroshi Teshigahara'], 'year': 1964, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 147, 'avg_rating': 4.45}"
33,Le Trou,"{'director': ['Jacques Becker'], 'year': 1960, 'language': ['French'], 'country': ['France'], 'runtime': 132, 'avg_rating': 4.44}"
34,Apocalypse Now,"{'director': ['Francis Ford Coppola'], 'year': 1979, 'language': ['English', 'Khmer', 'French', 'Vietnamese'], 'country': ['USA'], 'runtime': 147, 'avg_rating': 4.44}"
35,Sunset Boulevard,"{'director': ['Billy Wilder'], 'year': 1950, 'language': ['English'], 'country': ['USA'], 'runtime': 110, 'avg_rating': 4.44}"
36,Tokyo Story,"{'director': ['Yasujirō Ozu'], 'year': 1953, 'language': ['Japanese', 'English'], 'country': ['Japan'], 'runtime': 137, 'avg_rating': 4.43}"
37,The Apartment,"{'director': ['Billy Wilder'], 'year': 1960, 'language': ['English'], 'country': ['USA'], 'runtime': 125, 'avg_rating': 4.43}"
38,Portrait of a Lady on Fire,"{'director': ['Céline Sciamma'], 'year': 2019, 'language': ['French', 'Italian'], 'country': ['France'], 'runtime': 120, 'avg_rating': 4.43}"
39,The Passion of Joan of Arc,"{'director': ['Carl Theodor Dreyer'], 'year': 1928, 'language': ['No spoken language'], 'country': ['France'], 'runtime': 82, 'avg_rating': 4.43}"
40,Andrei Rublev,"{'director': ['Andrei Tarkovsky'], 'year': 1966, 'language': ['Russian', 'Tatar', 'Italian'], 'country': ['USSR'], 'runtime': 183, 'avg_rating': 4.43}"
41,Whiplash,"{'director': ['Damien Chazelle'], 'year': 2014, 'language': ['English'], 'country': ['USA'], 'runtime': 107, 'avg_rating': 4.43}"
42,Stalker,"{'director': ['Andrei Tarkovsky'], 'year': 1979, 'language': ['Russian'], 'country': ['USSR'], 'runtime': 162, 'avg_rating': 4.43}"
43,Spider-Man: Into the Spider-Verse,"{'director': ['Rodney Rothman', 'Peter Ramsey', 'Bob Persichetti'], 'year': 2018, 'language': ['English', 'Japanese', 'Spanish'], 'country': ['USA'], 'runtime': 117, 'avg_rating': 4.42}"
44,Mishima: A Life in Four Chapters,"{'director': ['Paul Schrader'], 'year': 1985, 'language': ['Japanese', 'English'], 'country': ['Japan', 'USA'], 'runtime': 121, 'avg_rating': 4.42}"
45,Close-Up,"{'director': ['Abbas Kiarostami'], 'year': 1990, 'language': ['Persian\xa0(Farsi)', 'Azerbaijani'], 'country': ['Iran'], 'runtime': 98, 'avg_rating': 4.41}"
46,Fanny and Alexander,"{'director': ['Ingmar Bergman'], 'year': 1982, 'language': ['Swedish', 'English', 'German', 'Yiddish'], 'country': ['Sweden', 'Germany', 'France'], 'runtime': 188, 'avg_rating': 4.41}"
47,Memories of Murder,"{'director': ['Bong Joon-ho'], 'year': 2003, 'language': ['Korean', 'English'], 'country': ['South Korea'], 'runtime': 131, 'avg_rating': 4.41}"
48,The Human Condition II: Road to Eternity,"{'director': ['Masaki Kobayashi'], 'year': 1959, 'language': ['Japanese', 'Chinese', 'Russian'], 'country': ['Japan'], 'runtime': 178, 'avg_rating': 4.41}"
49,Persona,"{'director': ['Ingmar Bergman'], 'year': 1966, 'language': ['Swedish'], 'country': ['Sweden'], 'runtime': 83, 'avg_rating': 4.41}"
50,The Handmaiden,"{'director': ['Park Chan-wook'], 'year': 2016, 'language': ['Korean', 'Japanese'], 'country': ['South Korea'], 'runtime': 145, 'avg_rating': 4.41}"
51,The Empire Strikes Back,"{'director': ['Irvin Kershner'], 'year': 1980, 'language': ['English'], 'country': ['USA'], 'runtime': 124, 'avg_rating': 4.41}"
52,Incendies,"{'director': ['Denis Villeneuve'], 'year': 2010, 'language': ['French', 'Arabic', 'English'], 'country': ['Canada', 'France'], 'runtime': 131, 'avg_rating': 4.4}"
53,In the Mood for Love,"{'director': ['Wong Kar-wai'], 'year': 2000, 'language': ['Cantonese', 'French', 'Spanish'], 'country': ['France', 'Hong Kong', 'Netherlands'], 'runtime': 99, 'avg_rating': 4.4}"
54,The Cranes Are Flying,"{'director': ['Mikhail Kalatozov'], 'year': 1957, 'language': ['Russian'], 'country': ['USSR'], 'runtime': 97, 'avg_rating': 4.4}"
55,Do the Right Thing,"{'director': ['Spike Lee'], 'year': 1989, 'language': ['English'], 'country': ['USA'], 'runtime': 120, 'avg_rating': 4.4}"
56,Perfect Blue,"{'director': ['Satoshi Kon'], 'year': 1997, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 82, 'avg_rating': 4.4}"
57,"Paris, Texas","{'director': ['Wim Wenders'], 'year': 1984, 'language': ['English', 'Spanish'], 'country': ['France', 'Germany', 'UK'], 'runtime': 145, 'avg_rating': 4.4}"
58,Barry Lyndon,"{'director': ['Stanley Kubrick'], 'year': 1975, 'language': ['English', 'German', 'French'], 'country': ['UK', 'USA'], 'runtime': 185, 'avg_rating': 4.39}"
59,The Lord of the Rings: The Two Towers,"{'director': ['Peter Jackson'], 'year': 2002, 'language': ['English'], 'country': ['New Zealand', 'USA'], 'runtime': 179, 'avg_rating': 4.39}"
60,Oldboy,"{'director': ['Park Chan-wook'], 'year': 2003, 'language': ['Korean'], 'country': ['South Korea'], 'runtime': 120, 'avg_rating': 4.39}"
61,The Battle of Algiers,"{'director': ['Gillo Pontecorvo'], 'year': 1966, 'language': ['Arabic', 'French'], 'country': ['Italy', 'Algeria'], 'runtime': 121, 'avg_rating': 4.39}"
62,A Woman Under the Influence,"{'director': ['John Cassavetes'], 'year': 1974, 'language': ['English', 'Italian'], 'country': ['USA'], 'runtime': 155, 'avg_rating': 4.39}"
63,It's a Wonderful Life,"{'director': ['Frank Capra'], 'year': 1946, 'language': ['English'], 'country': ['USA'], 'runtime': 130, 'avg_rating': 4.39}"
64,The Red Shoes,"{'director': ['Emeric Pressburger', 'Michael Powell'], 'year': 1948, 'language': ['English', 'Russian', 'French'], 'country': ['UK'], 'runtime': 133, 'avg_rating': 4.39}"
65,Once Upon a Time in the West,"{'director': ['Sergio Leone'], 'year': 1968, 'language': ['English'], 'country': ['Italy', 'USA'], 'runtime': 166, 'avg_rating': 4.39}"
66,Sansho the Bailiff,"{'director': ['Kenji Mizoguchi'], 'year': 1954, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 124, 'avg_rating': 4.39}"
67,The Ascent,"{'director': ['Larisa Shepitko'], 'year': 1977, 'language': ['Russian', 'German'], 'country': ['USSR'], 'runtime': 111, 'avg_rating': 4.38}"
68,It's Such a Beautiful Day,"{'director': ['Don Hertzfeldt'], 'year': 2012, 'language': ['English'], 'country': ['USA'], 'runtime': 62, 'avg_rating': 4.38}"
69,Rear Window,"{'director': ['Alfred Hitchcock'], 'year': 1954, 'language': ['English'], 'country': ['USA'], 'runtime': 115, 'avg_rating': 4.38}"
70,Princess Mononoke,"{'director': ['Hayao Miyazaki'], 'year': 1997, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 134, 'avg_rating': 4.37}"
71,"Sherlock, Jr.","{'director': ['Buster Keaton'], 'year': 1924, 'language': ['No spoken language'], 'country': ['USA'], 'runtime': 45, 'avg_rating': 4.37}"
72,The Pianist,"{'director': ['Roman Polanski'], 'year': 2002, 'language': ['English', 'Russian', 'Polish', 'German'], 'country': ['France', 'Germany', 'Poland', 'UK', 'USA'], 'runtime': 150, 'avg_rating': 4.37}"
73,Nights of Cabiria,"{'director': ['Federico Fellini'], 'year': 1957, 'language': ['Italian'], 'country': ['Italy', 'France'], 'runtime': 110, 'avg_rating': 4.37}"
74,Satantango,"{'director': ['Béla Tarr'], 'year': 1994, 'language': ['Hungarian'], 'country': ['Germany', 'Hungary', 'Switzerland'], 'runtime': 432, 'avg_rating': 4.37}"
75,The Lord of the Rings: The Fellowship of the Ring,"{'director': ['Peter Jackson'], 'year': 2001, 'language': ['English'], 'country': ['New Zealand', 'USA'], 'runtime': 179, 'avg_rating': 4.37}"
76,Love Exposure,"{'director': ['Sion Sono'], 'year': 2008, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 237, 'avg_rating': 4.37}"
77,A Separation,"{'director': ['Asghar Farhadi'], 'year': 2011, 'language': ['Persian\xa0(Farsi)'], 'country': ['Iran'], 'runtime': 123, 'avg_rating': 4.36}"
78,One Flew Over the Cuckoo's Nest,"{'director': ['Miloš Forman'], 'year': 1975, 'language': ['English'], 'country': ['USA'], 'runtime': 133, 'avg_rating': 4.36}"
79,Scenes from a Marriage,"{'director': ['Ingmar Bergman'], 'year': 1974, 'language': ['Swedish'], 'country': ['Sweden'], 'runtime': 169, 'avg_rating': 4.36}"
80,Lawrence of Arabia,"{'director': ['David Lean'], 'year': 1962, 'language': ['English', 'Arabic', 'Portuguese', 'Turkish'], 'country': ['UK'], 'runtime': 228, 'avg_rating': 4.36}"
81,I Am Cuba,"{'director': ['Mikhail Kalatozov'], 'year': 1964, 'language': ['Spanish', 'English', 'Russian'], 'country': ['Cuba', 'USSR'], 'runtime': 140, 'avg_rating': 4.36}"
82,Eternity and a Day,"{'director': ['Theo Angelopoulos'], 'year': 1998, 'language': ['Greek\xa0(modern)', 'English', 'Italian'], 'country': ['France', 'Germany', 'Greece', 'Italy'], 'runtime': 133, 'avg_rating': 4.35}"
83,Nobody Knows,"{'director': ['Hirokazu Kore-eda'], 'year': 2004, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 141, 'avg_rating': 4.35}"
84,The Thing,"{'director': ['John Carpenter'], 'year': 1982, 'language': ['English', 'Norwegian'], 'country': ['USA'], 'runtime': 109, 'avg_rating': 4.35}"
85,Interstellar,"{'director': ['Christopher Nolan'], 'year': 2014, 'language': ['English'], 'country': ['UK', 'USA'], 'runtime': 169, 'avg_rating': 4.35}"
86,Where Is the Friend's House?,"{'director': ['Abbas Kiarostami'], 'year': 1987, 'language': ['Persian\xa0(Farsi)'], 'country': ['Iran'], 'runtime': 83, 'avg_rating': 4.35}"
87,A Man Escaped,"{'director': ['Robert Bresson'], 'year': 1956, 'language': ['French', 'German'], 'country': ['France'], 'runtime': 101, 'avg_rating': 4.34}"
88,Before Sunset,"{'director': ['Richard Linklater'], 'year': 2004, 'language': ['English', 'French'], 'country': ['USA'], 'runtime': 80, 'avg_rating': 4.34}"
89,The Seventh Seal,"{'director': ['Ingmar Bergman'], 'year': 1957, 'language': ['Swedish'], 'country': ['Sweden'], 'runtime': 96, 'avg_rating': 4.34}"
90,Witness for the Prosecution,"{'director': ['Billy Wilder'], 'year': 1957, 'language': ['English', 'German'], 'country': ['USA'], 'runtime': 116, 'avg_rating': 4.34}"
91,Inglourious Basterds,"{'director': ['Quentin Tarantino'], 'year': 2009, 'language': ['English', 'German', 'French', 'Italian'], 'country': ['France', 'Germany', 'USA'], 'runtime': 153, 'avg_rating': 4.34}"
92,City Lights,"{'director': ['Charlie Chaplin'], 'year': 1931, 'language': ['No spoken language'], 'country': ['USA'], 'runtime': 87, 'avg_rating': 4.34}"
93,Life Is Beautiful,"{'director': ['Roberto Benigni'], 'year': 1997, 'language': ['Italian', 'German', 'Czech', 'English'], 'country': ['Italy'], 'runtime': 116, 'avg_rating': 4.34}"
94,Three Colours: Red,"{'director': ['Krzysztof Kieślowski'], 'year': 1994, 'language': ['French'], 'country': ['France', 'Poland', 'Switzerland'], 'runtime': 100, 'avg_rating': 4.34}"
95,Mirror,"{'director': ['Andrei Tarkovsky'], 'year': 1975, 'language': ['Russian', 'Spanish'], 'country': ['USSR'], 'runtime': 107, 'avg_rating': 4.34}"
96,All About Eve,"{'director': ['Joseph L. Mankiewicz'], 'year': 1950, 'language': ['English', 'French'], 'country': ['USA'], 'runtime': 139, 'avg_rating': 4.34}"
97,Wild Strawberries,"{'director': ['Ingmar Bergman'], 'year': 1957, 'language': ['Swedish', 'Latin'], 'country': ['Sweden'], 'runtime': 91, 'avg_rating': 4.33}"
98,Before Sunrise,"{'director': ['Richard Linklater'], 'year': 1995, 'language': ['English', 'German', 'French'], 'country': ['Austria', 'USA'], 'runtime': 101, 'avg_rating': 4.33}"
99,Army of Shadows,"{'director': ['Jean-Pierre Melville'], 'year': 1969, 'language': ['French', 'English', 'German'], 'country': ['France', 'Italy'], 'runtime': 145, 'avg_rating': 4.33}"
100,The Silence of the Lambs,"{'director': ['Jonathan Demme'], 'year': 1991, 'language': ['English'], 'country': ['USA'], 'runtime': 119, 'avg_rating': 4.33}"
101,Ordet,"{'director': ['Carl Theodor Dreyer'], 'year': 1955, 'language': ['Danish'], 'country': ['Denmark'], 'runtime': 125, 'avg_rating': 4.33}"
102,An Elephant Sitting Still,"{'director': ['Hu Bo'], 'year': 2018, 'language': ['Chinese'], 'country': ['China'], 'runtime': 234, 'avg_rating': 4.33}"
103,Red Beard,"{'director': ['Akira Kurosawa'], 'year': 1965, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 185, 'avg_rating': 4.33}"
104,No Country for Old Men,"{'director': ['Joel Coen', 'Ethan Coen'], 'year': 2007, 'language': ['English', 'Spanish'], 'country': ['USA'], 'runtime': 122, 'avg_rating': 4.33}"
105,Paper Moon,"{'director': ['Peter Bogdanovich'], 'year': 1973, 'language': ['English'], 'country': ['USA'], 'runtime': 102, 'avg_rating': 4.33}"
106,Se7en,"{'director': ['David Fincher'], 'year': 1995, 'language': ['English'], 'country': ['USA'], 'runtime': 127, 'avg_rating': 4.33}"
107,Late Spring,"{'director': ['Yasujirō Ozu'], 'year': 1949, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 110, 'avg_rating': 4.33}"
108,Landscape in the Mist,"{'director': ['Theo Angelopoulos'], 'year': 1988, 'language': ['Greek\xa0(modern)'], 'country': ['France', 'Greece', 'Italy'], 'runtime': 125, 'avg_rating': 4.32}"
109,Apur Sansar,"{'director': ['Satyajit Ray'], 'year': 1959, 'language': ['Bengali, Bangla', 'English'], 'country': ['India'], 'runtime': 105, 'avg_rating': 4.32}"
110,Howl's Moving Castle,"{'director': ['Hayao Miyazaki'], 'year': 2004, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 119, 'avg_rating': 4.32}"
111,Singin' in the Rain,"{'director': ['Stanley Donen', 'Gene Kelly'], 'year': 1952, 'language': ['English'], 'country': ['USA'], 'runtime': 103, 'avg_rating': 4.32}"
112,Psycho,"{'director': ['Alfred Hitchcock'], 'year': 1960, 'language': ['English'], 'country': ['USA'], 'runtime': 109, 'avg_rating': 4.32}"
113,Amadeus,"{'director': ['Miloš Forman'], 'year': 1984, 'language': ['English', 'German', 'Italian', 'Latin'], 'country': ['France', 'USA'], 'runtime': 161, 'avg_rating': 4.32}"
114,The Wages of Fear,"{'director': ['Henri-Georges Clouzot'], 'year': 1953, 'language': ['French', 'English', 'Spanish', 'Italian', 'German'], 'country': ['France', 'Italy'], 'runtime': 148, 'avg_rating': 4.32}"
115,M,"{'director': ['Fritz Lang'], 'year': 1931, 'language': ['German'], 'country': ['Germany'], 'runtime': 111, 'avg_rating': 4.32}"
116,The 400 Blows,"{'director': ['François Truffaut'], 'year': 1959, 'language': ['French', 'English'], 'country': ['France'], 'runtime': 99, 'avg_rating': 4.32}"
117,Still Walking,"{'director': ['Hirokazu Kore-eda'], 'year': 2008, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 114, 'avg_rating': 4.32}"
118,Mommy,"{'director': ['Xavier Dolan'], 'year': 2014, 'language': ['French', 'English'], 'country': ['Canada'], 'runtime': 138, 'avg_rating': 4.31}"
119,All That Jazz,"{'director': ['Bob Fosse'], 'year': 1979, 'language': ['English'], 'country': ['USA'], 'runtime': 123, 'avg_rating': 4.31}"
120,Taste of Cherry,"{'director': ['Abbas Kiarostami'], 'year': 1997, 'language': ['Persian\xa0(Farsi)'], 'country': ['France', 'Iran'], 'runtime': 99, 'avg_rating': 4.31}"
121,The Great Dictator,"{'director': ['Charlie Chaplin'], 'year': 1940, 'language': ['English', 'Esperanto'], 'country': ['USA'], 'runtime': 125, 'avg_rating': 4.31}"
122,Werckmeister Harmonies,"{'director': ['Béla Tarr'], 'year': 2000, 'language': ['Hungarian', 'Slovak'], 'country': ['France', 'Germany', 'Hungary', 'Italy'], 'runtime': 139, 'avg_rating': 4.31}"
123,Brief Encounter,"{'director': ['David Lean'], 'year': 1945, 'language': ['English'], 'country': ['UK'], 'runtime': 86, 'avg_rating': 4.31}"
124,Dog Day Afternoon,"{'director': ['Sidney Lumet'], 'year': 1975, 'language': ['English'], 'country': ['USA'], 'runtime': 125, 'avg_rating': 4.31}"
