ranking,name,info
125,Bicycle Thieves,"{'director': ['Vittorio De Sica'], 'year': 1948, 'language': ['Italian'], 'country': ['Italy'], 'runtime': 89, 'avg_rating': 4.31}"
126,Yojimbo,"{'director': ['Akira Kurosawa'], 'year': 1961, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 110, 'avg_rating': 4.31}"
127,The Departed,"{'director': ['Martin Scorsese'], 'year': 2006, 'language': ['English', 'Cantonese'], 'country': ['Hong Kong', 'USA'], 'runtime': 151, 'avg_rating': 4.31}"
128,The Sacrifice,"{'director': ['Andrei Tarkovsky'], 'year': 1986, 'language': ['Swedish', 'English', 'French', 'Icelandic'], 'country': ['France', 'Sweden', 'UK'], 'runtime': 149, 'avg_rating': 4.3}"
129,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"{'director': ['Stanley Kubrick'], 'year': 1964, 'language': ['English'], 'country': ['UK', 'USA'], 'runtime': 95, 'avg_rating': 4.3}"
130,Everything Everywhere All at Once,"{'director': ['Daniel Scheinert', 'Daniel Kwan'], 'year': 2022, 'language': ['English', 'Cantonese', 'Chinese'], 'country': ['USA'], 'runtime': 140, 'avg_rating': 4.3}"
131,Wings of Desire,"{'director': ['Wim Wenders'], 'year': 1987, 'language': ['German', 'Turkish', 'Japanese', 'Spanish', 'Hebrew\xa0(modern)', 'French', 'English'], 'country': ['France', 'Germany'], 'runtime': 128, 'avg_rating': 4.3}"
132,8½,"{'director': ['Federico Fellini'], 'year': 1963, 'language': ['Italian', 'German', 'English', 'French'], 'country': ['Italy', 'France'], 'runtime': 139, 'avg_rating': 4.3}"
133,The Young Girls of Rochefort,"{'director': ['Jacques Demy'], 'year': 1967, 'language': ['French'], 'country': ['France'], 'runtime': 126, 'avg_rating': 4.3}"
134,Good Will Hunting,"{'director': ['Gus Van Sant'], 'year': 1997, 'language': ['English'], 'country': ['USA'], 'runtime': 127, 'avg_rating': 4.3}"
135,To Be or Not to Be,"{'director': ['Ernst Lubitsch'], 'year': 1942, 'language': ['English', 'German'], 'country': ['USA'], 'runtime': 99, 'avg_rating': 4.3}"
136,Children of Men,"{'director': ['Alfonso Cuarón'], 'year': 2006, 'language': ['English'], 'country': ['UK', 'USA'], 'runtime': 109, 'avg_rating': 4.3}"
137,Tampopo,"{'director': ['Jūzō Itami'], 'year': 1985, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 115, 'avg_rating': 4.3}"
138,Funeral Parade of Roses,"{'director': ['Toshio Matsumoto'], 'year': 1969, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 105, 'avg_rating': 4.3}"
139,Pather Panchali,"{'director': ['Satyajit Ray'], 'year': 1955, 'language': ['Bengali, Bangla'], 'country': ['India'], 'runtime': 125, 'avg_rating': 4.3}"
140,War and Peace,"{'director': ['Sergey Bondarchuk'], 'year': 1967, 'language': ['Russian', 'German', 'French', 'Hungarian'], 'country': ['USSR'], 'runtime': 422, 'avg_rating': 4.3}"
141,2001: A Space Odyssey,"{'director': ['Stanley Kubrick'], 'year': 1968, 'language': ['English', 'Russian'], 'country': ['UK', 'USA'], 'runtime': 149, 'avg_rating': 4.3}"
142,Monster,"{'director': ['Hirokazu Kore-eda'], 'year': 2023, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 125, 'avg_rating': 4.3}"
143,Chungking Express,"{'director': ['Wong Kar-wai'], 'year': 1994, 'language': ['Cantonese', 'Chinese', 'English', 'Hindi', 'Japanese', 'Eastern Punjabi, Eastern Panjabi', 'Urdu'], 'country': ['Hong Kong'], 'runtime': 103, 'avg_rating': 4.3}"
144,Z,"{'director': ['Costa-Gavras'], 'year': 1969, 'language': ['French', 'Russian'], 'country': ['Algeria', 'France'], 'runtime': 127, 'avg_rating': 4.3}"
145,Shoplifters,"{'director': ['Hirokazu Kore-eda'], 'year': 2018, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 120, 'avg_rating': 4.3}"
146,Chinatown,"{'director': ['Roman Polanski'], 'year': 1974, 'language': ['English', 'Spanish', 'Cantonese'], 'country': ['USA'], 'runtime': 130, 'avg_rating': 4.29}"
147,The Fifth Seal,"{'director': ['Zoltán Fábri'], 'year': 1976, 'language': ['Hungarian'], 'country': ['Hungary'], 'runtime': 107, 'avg_rating': 4.29}"
148,The Hunt,"{'director': ['Thomas Vinterberg'], 'year': 2012, 'language': ['Danish', 'Polish', 'English'], 'country': ['Denmark', 'Sweden'], 'runtime': 116, 'avg_rating': 4.29}"
149,The Father,"{'director': ['Florian Zeller'], 'year': 2020, 'language': ['English'], 'country': ['France', 'UK'], 'runtime': 96, 'avg_rating': 4.29}"
150,Prisoners,"{'director': ['Denis Villeneuve'], 'year': 2013, 'language': ['English'], 'country': ['USA'], 'runtime': 153, 'avg_rating': 4.29}"
151,Raise the Red Lantern,"{'director': ['Zhang Yimou'], 'year': 1991, 'language': ['Chinese'], 'country': ['China', 'Hong Kong', 'Taiwan'], 'runtime': 125, 'avg_rating': 4.29}"
152,Farewell My Concubine,"{'director': ['Chen Kaige'], 'year': 1993, 'language': ['Chinese'], 'country': ['China', 'Hong Kong'], 'runtime': 171, 'avg_rating': 4.29}"
153,Das Boot,"{'director': ['Wolfgang Petersen'], 'year': 1981, 'language': ['German', 'English', 'French'], 'country': ['Germany'], 'runtime': 150, 'avg_rating': 4.28}"
154,Terminator 2: Judgment Day,"{'director': ['James Cameron'], 'year': 1991, 'language': ['English', 'Spanish'], 'country': ['France', 'USA'], 'runtime': 137, 'avg_rating': 4.28}"
155,The Treasure of the Sierra Madre,"{'director': ['John Huston'], 'year': 1948, 'language': ['English'], 'country': ['USA'], 'runtime': 126, 'avg_rating': 4.28}"
156,The Celebration,"{'director': ['Thomas Vinterberg'], 'year': 1998, 'language': ['Danish', 'German', 'English'], 'country': ['Denmark', 'Sweden'], 'runtime': 105, 'avg_rating': 4.28}"
157,Rocco and His Brothers,"{'director': ['Luchino Visconti'], 'year': 1960, 'language': ['Italian'], 'country': ['France', 'Italy'], 'runtime': 178, 'avg_rating': 4.28}"
158,La Dolce Vita,"{'director': ['Federico Fellini'], 'year': 1960, 'language': ['Italian', 'German', 'English', 'French'], 'country': ['France', 'Italy'], 'runtime': 176, 'avg_rating': 4.28}"
159,The Weeping Meadow,"{'director': ['Theo Angelopoulos'], 'year': 2004, 'language': ['Greek\xa0(modern)'], 'country': ['France', 'Germany', 'Greece', 'Italy'], 'runtime': 169, 'avg_rating': 4.28}"
160,The Best of Youth,"{'director': ['Marco Tullio Giordana'], 'year': 2003, 'language': ['Italian', 'English', 'Norwegian'], 'country': ['Italy'], 'runtime': 366, 'avg_rating': 4.28}"
161,Alien,"{'director': ['Ridley Scott'], 'year': 1979, 'language': ['English', 'Spanish'], 'country': ['USA', 'UK'], 'runtime': 117, 'avg_rating': 4.27}"
162,Modern Times,"{'director': ['Charlie Chaplin'], 'year': 1936, 'language': ['English'], 'country': ['USA'], 'runtime': 87, 'avg_rating': 4.27}"
163,Django Unchained,"{'director': ['Quentin Tarantino'], 'year': 2012, 'language': ['English', 'French', 'German'], 'country': ['USA'], 'runtime': 165, 'avg_rating': 4.27}"
164,The Lives of Others,"{'director': ['Florian Henckel von Donnersmarck'], 'year': 2006, 'language': ['German'], 'country': ['France', 'Germany'], 'runtime': 137, 'avg_rating': 4.27}"
165,Akira,"{'director': ['Katsuhiro Otomo'], 'year': 1988, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 124, 'avg_rating': 4.27}"
166,Casablanca,"{'director': ['Michael Curtiz'], 'year': 1942, 'language': ['English', 'German', 'French', 'Italian'], 'country': ['USA'], 'runtime': 102, 'avg_rating': 4.27}"
167,Fight Club,"{'director': ['David Fincher'], 'year': 1999, 'language': ['English'], 'country': ['Germany', 'USA'], 'runtime': 139, 'avg_rating': 4.27}"
168,Heat,"{'director': ['Michael Mann'], 'year': 1995, 'language': ['English', 'Spanish'], 'country': ['USA'], 'runtime': 170, 'avg_rating': 4.27}"
169,A Special Day,"{'director': ['Ettore Scola'], 'year': 1977, 'language': ['Italian'], 'country': ['Canada', 'Italy'], 'runtime': 106, 'avg_rating': 4.27}"
170,Fantastic Mr. Fox,"{'director': ['Wes Anderson'], 'year': 2009, 'language': ['English', 'French', 'Latin'], 'country': ['USA'], 'runtime': 87, 'avg_rating': 4.27}"
171,Throne of Blood,"{'director': ['Akira Kurosawa'], 'year': 1957, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 108, 'avg_rating': 4.27}"
172,The Night of the Hunter,"{'director': ['Charles Laughton'], 'year': 1955, 'language': ['English'], 'country': ['USA'], 'runtime': 93, 'avg_rating': 4.27}"
173,The Third Man,"{'director': ['Carol Reed'], 'year': 1949, 'language': ['English', 'Russian', 'German'], 'country': ['UK'], 'runtime': 104, 'avg_rating': 4.27}"
174,Pulp Fiction,"{'director': ['Quentin Tarantino'], 'year': 1994, 'language': ['English', 'Spanish', 'French'], 'country': ['USA'], 'runtime': 154, 'avg_rating': 4.26}"
175,Network,"{'director': ['Sidney Lumet'], 'year': 1976, 'language': ['English'], 'country': ['USA'], 'runtime': 122, 'avg_rating': 4.26}"
176,La Notte,"{'director': ['Michelangelo Antonioni'], 'year': 1961, 'language': ['Italian'], 'country': ['Italy', 'France'], 'runtime': 122, 'avg_rating': 4.26}"
177,Nostalgia,"{'director': ['Andrei Tarkovsky'], 'year': 1983, 'language': ['Russian', 'Italian'], 'country': ['Italy', 'USSR'], 'runtime': 125, 'avg_rating': 4.26}"
178,Double Indemnity,"{'director': ['Billy Wilder'], 'year': 1944, 'language': ['English'], 'country': ['USA'], 'runtime': 107, 'avg_rating': 4.26}"
179,Perfect Days,"{'director': ['Wim Wenders'], 'year': 2023, 'language': ['Japanese', 'English'], 'country': ['Germany', 'Japan'], 'runtime': 124, 'avg_rating': 4.26}"
180,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles","{'director': ['Chantal Akerman'], 'year': 1975, 'language': ['French'], 'country': ['Belgium', 'France'], 'runtime': 202, 'avg_rating': 4.26}"
181,Evangelion: 3.0+1.0 Thrice Upon a Time,"{'director': ['Hideaki Anno'], 'year': 2021, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 155, 'avg_rating': 4.26}"
182,Dead Poets Society,"{'director': ['Peter Weir'], 'year': 1989, 'language': ['English', 'Latin'], 'country': ['USA'], 'runtime': 128, 'avg_rating': 4.26}"
183,Metropolis,"{'director': ['Fritz Lang'], 'year': 1927, 'language': ['No spoken language'], 'country': ['Germany'], 'runtime': 153, 'avg_rating': 4.26}"
184,Opening Night,"{'director': ['John Cassavetes'], 'year': 1977, 'language': ['English'], 'country': ['USA'], 'runtime': 144, 'avg_rating': 4.25}"
185,Ugetsu,"{'director': ['Kenji Mizoguchi'], 'year': 1953, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 96, 'avg_rating': 4.25}"
186,Judgment at Nuremberg,"{'director': ['Stanley Kramer'], 'year': 1961, 'language': ['English', 'German'], 'country': ['USA'], 'runtime': 190, 'avg_rating': 4.25}"
187,Children of Paradise,"{'director': ['Marcel Carné'], 'year': 1945, 'language': ['French'], 'country': ['France'], 'runtime': 191, 'avg_rating': 4.25}"
188,Le Samouraï,"{'director': ['Jean-Pierre Melville'], 'year': 1967, 'language': ['French'], 'country': ['France', 'Italy'], 'runtime': 105, 'avg_rating': 4.25}"
189,Ace in the Hole,"{'director': ['Billy Wilder'], 'year': 1951, 'language': ['English', 'Latin', 'Spanish'], 'country': ['USA'], 'runtime': 111, 'avg_rating': 4.25}"
190,Underground,"{'director': ['Emir Kusturica'], 'year': 1995, 'language': ['Serbian', 'French', 'German'], 'country': ['Bulgaria', 'Czechia', 'France', 'Germany', 'Hungary', 'Yugoslavia'], 'runtime': 170, 'avg_rating': 4.25}"
191,Raging Bull,"{'director': ['Martin Scorsese'], 'year': 1980, 'language': ['English'], 'country': ['USA'], 'runtime': 129, 'avg_rating': 4.25}"
192,Who's Afraid of Virginia Woolf?,"{'director': ['Mike Nichols'], 'year': 1966, 'language': ['English', 'Latin'], 'country': ['USA'], 'runtime': 131, 'avg_rating': 4.25}"
193,The Man Who Shot Liberty Valance,"{'director': ['John Ford'], 'year': 1962, 'language': ['English'], 'country': ['USA'], 'runtime': 123, 'avg_rating': 4.25}"
194,Eternal Sunshine of the Spotless Mind,"{'director': ['Michel Gondry'], 'year': 2004, 'language': ['English'], 'country': ['USA'], 'runtime': 108, 'avg_rating': 4.25}"
195,Central Station,"{'director': ['Walter Salles'], 'year': 1998, 'language': ['Portuguese'], 'country': ['Brazil', 'France'], 'runtime': 110, 'avg_rating': 4.25}"
196,Rififi,"{'director': ['Jules Dassin'], 'year': 1955, 'language': ['French', 'English', 'Italian'], 'country': ['France'], 'runtime': 118, 'avg_rating': 4.24}"
197,Some Like It Hot,"{'director': ['Billy Wilder'], 'year': 1959, 'language': ['English'], 'country': ['USA'], 'runtime': 122, 'avg_rating': 4.24}"
198,The Cremator,"{'director': ['Juraj Herz'], 'year': 1969, 'language': ['Czech'], 'country': ['Czechoslovakia'], 'runtime': 101, 'avg_rating': 4.24}"
199,Mulholland Drive,"{'director': ['David Lynch'], 'year': 2001, 'language': ['English', 'Spanish'], 'country': ['France', 'USA'], 'runtime': 147, 'avg_rating': 4.24}"
200,Solaris,"{'director': ['Andrei Tarkovsky'], 'year': 1972, 'language': ['Russian'], 'country': ['USSR'], 'runtime': 167, 'avg_rating': 4.24}"
201,The Grand Budapest Hotel,"{'director': ['Wes Anderson'], 'year': 2014, 'language': ['English', 'French'], 'country': ['Germany', 'USA'], 'runtime': 100, 'avg_rating': 4.24}"
202,The Iron Giant,"{'director': ['Brad Bird'], 'year': 1999, 'language': ['English'], 'country': ['USA'], 'runtime': 86, 'avg_rating': 4.24}"
203,Cure,"{'director': ['Kiyoshi Kurosawa'], 'year': 1997, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 111, 'avg_rating': 4.24}"
204,The Shining,"{'director': ['Stanley Kubrick'], 'year': 1980, 'language': ['English'], 'country': ['UK', 'USA'], 'runtime': 144, 'avg_rating': 4.24}"
205,Sorcerer,"{'director': ['William Friedkin'], 'year': 1977, 'language': ['English', 'German', 'French', 'Spanish'], 'country': ['USA'], 'runtime': 121, 'avg_rating': 4.24}"
206,Vertigo,"{'director': ['Alfred Hitchcock'], 'year': 1958, 'language': ['English'], 'country': ['USA'], 'runtime': 129, 'avg_rating': 4.24}"
207,Eureka,"{'director': ['Shinji Aoyama'], 'year': 2000, 'language': ['Japanese'], 'country': ['Japan', 'France'], 'runtime': 218, 'avg_rating': 4.24}"
208,Samurai Rebellion,"{'director': ['Masaki Kobayashi'], 'year': 1967, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 121, 'avg_rating': 4.24}"
209,The King of Comedy,"{'director': ['Martin Scorsese'], 'year': 1982, 'language': ['English'], 'country': ['USA'], 'runtime': 109, 'avg_rating': 4.24}"
210,Aftersun,"{'director': ['Charlotte Wells'], 'year': 2022, 'language': ['English', 'Spanish', 'Turkish'], 'country': ['UK', 'USA'], 'runtime': 102, 'avg_rating': 4.24}"
211,"Life, and Nothing More...","{'director': ['Abbas Kiarostami'], 'year': 1992, 'language': ['Persian\xa0(Farsi)'], 'country': ['Iran'], 'runtime': 95, 'avg_rating': 4.24}"
212,The Tale of the Princess Kaguya,"{'director': ['Isao Takahata'], 'year': 2013, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 137, 'avg_rating': 4.24}"
213,Winter Light,"{'director': ['Ingmar Bergman'], 'year': 1963, 'language': ['Swedish'], 'country': ['Sweden'], 'runtime': 80, 'avg_rating': 4.24}"
214,Sweet Smell of Success,"{'director': ['Alexander Mackendrick'], 'year': 1957, 'language': ['English'], 'country': ['USA'], 'runtime': 97, 'avg_rating': 4.24}"
215,Umberto D.,"{'director': ['Vittorio De Sica'], 'year': 1952, 'language': ['Italian'], 'country': ['Italy'], 'runtime': 91, 'avg_rating': 4.24}"
216,Saving Private Ryan,"{'director': ['Steven Spielberg'], 'year': 1998, 'language': ['English', 'Czech', 'German', 'French'], 'country': ['USA'], 'runtime': 169, 'avg_rating': 4.23}"
217,Marcel the Shell with Shoes On,"{'director': ['Dean Fleischer Camp'], 'year': 2021, 'language': ['English', 'Portuguese', 'Spanish'], 'country': ['USA'], 'runtime': 90, 'avg_rating': 4.23}"
218,A Matter of Life and Death,"{'director': ['Emeric Pressburger', 'Michael Powell'], 'year': 1946, 'language': ['English', 'French', 'Russian'], 'country': ['UK'], 'runtime': 104, 'avg_rating': 4.23}"
219,The Prestige,"{'director': ['Christopher Nolan'], 'year': 2006, 'language': ['English'], 'country': ['UK', 'USA'], 'runtime': 130, 'avg_rating': 4.23}"
220,Oppenheimer,"{'director': ['Christopher Nolan'], 'year': 2023, 'language': ['English', 'Dutch'], 'country': ['UK', 'USA'], 'runtime': 181, 'avg_rating': 4.23}"
221,The Elephant Man,"{'director': ['David Lynch'], 'year': 1980, 'language': ['English'], 'country': ['USA', 'UK'], 'runtime': 124, 'avg_rating': 4.23}"
222,Rashomon,"{'director': ['Akira Kurosawa'], 'year': 1950, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 88, 'avg_rating': 4.23}"
223,Secrets & Lies,"{'director': ['Mike Leigh'], 'year': 1996, 'language': ['English'], 'country': ['France', 'UK'], 'runtime': 142, 'avg_rating': 4.23}"
224,Dersu Uzala,"{'director': ['Akira Kurosawa'], 'year': 1975, 'language': ['Russian'], 'country': ['Japan', 'USSR'], 'runtime': 141, 'avg_rating': 4.23}"
225,Ritual,"{'director': ['Hideaki Anno'], 'year': 2000, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 128, 'avg_rating': 4.23}"
226,The Bridge on the River Kwai,"{'director': ['David Lean'], 'year': 1957, 'language': ['English', 'Japanese', 'Thai'], 'country': ['UK'], 'runtime': 161, 'avg_rating': 4.23}"
227,Mary and Max,"{'director': ['Adam Elliot'], 'year': 2009, 'language': ['English', 'Yiddish'], 'country': ['Australia'], 'runtime': 92, 'avg_rating': 4.23}"
228,Napoleon,"{'director': ['Abel Gance'], 'year': 1927, 'language': ['No spoken language'], 'country': ['France'], 'runtime': 333, 'avg_rating': 4.23}"
229,"4 Months, 3 Weeks and 2 Days","{'director': ['Cristian Mungiu'], 'year': 2007, 'language': ['Romanian'], 'country': ['Belgium', 'Romania'], 'runtime': 114, 'avg_rating': 4.22}"
230,Millennium Actress,"{'director': ['Satoshi Kon'], 'year': 2001, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 87, 'avg_rating': 4.22}"
231,Make Way for Tomorrow,"{'director': ['Leo McCarey'], 'year': 1937, 'language': ['English'], 'country': ['USA'], 'runtime': 92, 'avg_rating': 4.22}"
232,Magnolia,"{'director': ['Paul Thomas Anderson'], 'year': 1999, 'language': ['English', 'French', 'German'], 'country': ['USA'], 'runtime': 189, 'avg_rating': 4.22}"
233,The Holdovers,"{'director': ['Alexander Payne'], 'year': 2023, 'language': ['English'], 'country': ['USA'], 'runtime': 133, 'avg_rating': 4.22}"
234,The Green Mile,"{'director': ['Frank Darabont'], 'year': 1999, 'language': ['English', 'French'], 'country': ['USA'], 'runtime': 189, 'avg_rating': 4.22}"
235,Aparajito,"{'director': ['Satyajit Ray'], 'year': 1956, 'language': ['Bengali, Bangla', 'Sanskrit (Saṁskṛta)', 'English'], 'country': ['India'], 'runtime': 110, 'avg_rating': 4.22}"
236,Anatomy of a Murder,"{'director': ['Otto Preminger'], 'year': 1959, 'language': ['English'], 'country': ['USA'], 'runtime': 161, 'avg_rating': 4.22}"
237,Happy Together,"{'director': ['Wong Kar-wai'], 'year': 1997, 'language': ['Cantonese', 'Spanish'], 'country': ['Hong Kong', 'Japan', 'South Korea'], 'runtime': 96, 'avg_rating': 4.22}"
238,Amour,"{'director': ['Michael Haneke'], 'year': 2012, 'language': ['French'], 'country': ['Austria', 'France', 'Germany'], 'runtime': 127, 'avg_rating': 4.22}"
239,The Lion King,"{'director': ['Roger Allers', 'Rob Minkoff'], 'year': 1994, 'language': ['English'], 'country': ['USA'], 'runtime': 89, 'avg_rating': 4.22}"
240,The Face of Another,"{'director': ['Hiroshi Teshigahara'], 'year': 1966, 'language': ['Japanese', 'German'], 'country': ['Japan'], 'runtime': 124, 'avg_rating': 4.21}"
241,The Disappearance of Haruhi Suzumiya,"{'director': ['Yasuhiro Takemoto', 'Tatsuya Ishihara'], 'year': 2010, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 162, 'avg_rating': 4.21}"
242,Your Name.,"{'director': ['Makoto Shinkai'], 'year': 2016, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 106, 'avg_rating': 4.21}"
243,Boogie Nights,"{'director': ['Paul Thomas Anderson'], 'year': 1997, 'language': ['English'], 'country': ['USA'], 'runtime': 156, 'avg_rating': 4.21}"
244,The Life and Death of Colonel Blimp,"{'director': ['Emeric Pressburger', 'Michael Powell'], 'year': 1943, 'language': ['English', 'French', 'German'], 'country': ['UK'], 'runtime': 163, 'avg_rating': 4.21}"
245,Fargo,"{'director': ['Joel Coen'], 'year': 1996, 'language': ['English'], 'country': ['UK', 'USA'], 'runtime': 98, 'avg_rating': 4.21}"
246,Once Upon a Time in America,"{'director': ['Sergio Leone'], 'year': 1984, 'language': ['English', 'French', 'Hebrew\xa0(modern)', 'Italian', 'Yiddish'], 'country': ['USA', 'Italy'], 'runtime': 229, 'avg_rating': 4.21}"
247,The Truman Show,"{'director': ['Peter Weir'], 'year': 1998, 'language': ['English'], 'country': ['USA'], 'runtime': 103, 'avg_rating': 4.21}"
248,Malcolm X,"{'director': ['Spike Lee'], 'year': 1992, 'language': ['English', 'Arabic'], 'country': ['Japan', 'USA'], 'runtime': 202, 'avg_rating': 4.21}"
249,An Autumn Afternoon,"{'director': ['Yasujirō Ozu'], 'year': 1962, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 114, 'avg_rating': 4.21}"
250,Happy Hour,"{'director': ['Ryūsuke Hamaguchi'], 'year': 2015, 'language': ['Japanese'], 'country': ['Japan'], 'runtime': 317, 'avg_rating': 4.21}"
